Fe,Co,Ni,Kerr,Coercivity
55.7,21.7,22.6,0.46389,-1.9491
29.5,37.6,32.9,0.3924,-2.8852
6.7,33.1,60.2,0.17445,-1.8208
31.3,26.3,42.4,0.39577,-1.7614999999999998
5.6,21.7,72.7,0.11811,-1.6974
31.6,49.0,19.4,0.50539,-4.2967
14.4,60.3,25.2,0.3718,-2.2809
14.6,44.4,41.0,0.29376,-2.6955
44.3,46.7,9.0,0.63432,-4.1938
13.9,12.7,73.4,0.073019,-9.5985
25.0,5.9,69.1,0.022874,-2.8551
57.5,10.4,32.1,0.36689,-8.177800000000001
11.4,62.6,26.0,0.33304,-2.0448
9.8,58.0,32.2,0.30944,-2.1394
18.9,24.0,57.1,0.27208,-1.653
55.2,28.5,16.2,0.48105,-2.2297
42.9,26.3,30.9,0.43989,-1.5571
4.6,8.1,87.3,0.02334,-3.7579
32.9,30.8,36.3,0.39218,-2.4685
19.1,35.4,45.6,0.3085,-1.7925
19.1,21.7,59.2,0.26054,-1.6149
50.2,30.8,18.9,0.46657,-3.0835
47.4,44.4,8.2,0.61566,-4.0648
46.4,30.8,22.8,0.4632,-2.5062
34.5,21.7,43.8,0.39118,-1.6791
16.9,67.1,16.0,0.50099,-2.5998
43.8,39.9,16.3,0.49373,-4.1361
13.2,78.5,8.4,0.57129,-2.6481000000000003
11.2,10.4,78.4,0.049403,-6.6661
58.0,30.8,11.2,0.50938,-3.3328
23.8,64.8,11.4,0.62692,-3.9151
17.2,62.6,20.2,0.45376,-2.8097000000000003
5.6,62.6,31.8,0.28288,-2.1272
87.5,8.1,4.4,0.47971,-2.9884
13.8,69.4,16.8,0.45057,-2.3099
73.7,12.7,13.7,0.47705,-1.9088
19.4,30.8,49.8,0.30856,-1.6441
18.0,64.8,17.2,0.50124,-2.7993
44.3,5.9,49.9,0.10038,-6.507599999999999
13.6,17.2,69.2,0.18027,-2.8971
8.5,8.1,83.4,0.025936,-5.7653
44.1,21.7,34.1,0.43736,-1.8493
13.6,30.8,55.6,0.2392,-1.7654
82.5,10.4,7.1,0.48407,-2.3444
26.6,10.4,63.0,0.08286,-7.938899999999999
37.7,3.6,58.7,0.10394,-8.984399999999999
43.3,33.1,23.6,0.44749,-2.9085
50.6,12.7,36.8,0.4009,-5.1763
26.0,19.5,54.6,0.31145,-1.852
18.0,37.6,44.4,0.30509,-2.1009
17.0,10.4,72.6,0.054101,-8.0505
9.6,73.9,16.4,0.39275,-2.2846
72.9,10.4,16.7,0.45916,-2.9134
9.3,10.4,80.3,0.040748,-7.9216
80.1,3.6,16.3,0.42056,-6.6843
10.3,37.6,52.1,0.23578,-1.8542
40.6,30.8,28.6,0.43456,-2.7396000000000003
36.6,5.9,57.6,0.23237,-7.5521
40.8,42.2,17.1,0.50818,-3.9479
26.0,60.3,13.7,0.60637,-3.786
27.6,37.6,34.8,0.37012,-2.7252
63.2,10.4,26.4,0.42499,-5.8549
49.4,14.9,35.6,0.43329,-2.477
76.4,14.9,8.6,0.49558,-2.0443
10.3,64.8,24.9,0.33038,-2.1217
16.2,49.0,34.8,0.31682,-2.7305
6.5,8.1,85.3,0.025691,-5.6254
48.3,30.8,20.9,0.46048,-2.801
24.4,55.8,19.8,0.52211,-3.7097
66.0,12.7,21.4,0.46173,-2.3043
12.6,3.6,83.8,0.025345,-2.8835
4.5,64.8,30.7,0.26363,-2.474
52.8,8.1,39.1,0.13714,-9.4905
37.6,33.1,29.4,0.42359,-2.7381
69.3,5.9,24.8,0.15525,-9.5753
11.3,78.5,10.3,0.51018,-2.7133
12.2,37.6,50.2,0.26291,-1.9122
54.6,37.6,7.8,0.57978,-3.3959
45.4,3.6,51.0,0.12555,-8.6699
9.4,21.7,68.8,0.15835,-1.5680999999999998
43.7,28.5,27.8,0.4385,-2.3619
53.5,39.9,6.6,0.60223,-2.7834
79.0,5.9,15.2,0.32053,-7.5146
25.5,26.3,48.2,0.33588,-1.6854
26.5,67.1,6.4,0.7022,-3.8076
25.7,37.6,36.7,0.36004,-2.8113
65.7,17.2,17.1,0.47703,-1.9185
15.1,78.5,6.4,0.63597,-2.7704
6.6,49.0,44.5,0.25411,-1.9717
19.7,26.3,54.0,0.29397,-1.6624
31.3,53.5,15.2,0.55273,-4.2305
57.0,3.6,39.4,0.14533,-8.758199999999999
31.9,44.4,23.6,0.46412,-4.0697
31.8,33.1,35.1,0.39054,-2.5396
24.6,39.9,35.6,0.35928,-2.6867
17.3,5.9,76.9,0.035672,-6.1771
59.7,5.9,34.4,0.14993,-9.3981
50.2,17.2,32.6,0.44413,-1.8086
25.2,17.2,57.6,0.29263,-2.7315
10.6,33.1,56.4,0.21919,-1.6907
42.1,51.2,6.7,0.70873,-4.0374
49.3,44.4,6.3,0.62318,-3.9533
68.5,3.6,27.9,0.28077,-6.4208
71.8,12.7,15.6,0.47076,-2.0272
5.4,24.0,70.6,0.12939,-1.5993
16.5,71.7,11.8,0.55324,-2.5427
70.6,14.9,14.4,0.47642,-1.7121
24.1,33.1,42.9,0.34332,-1.8911
11.9,42.2,46.0,0.26828,-2.2283
6.6,76.2,17.2,0.33201,-2.385
33.2,26.3,40.5,0.40413,-1.5805
4.8,33.1,62.1,0.15409,-1.7386
13.5,73.9,12.6,0.50558,-2.2853000000000003
83.3,12.7,4.0,0.5053,-2.4821
7.7,83.0,9.3,0.50653,-2.8721
14.7,28.5,56.7,0.24533,-1.668
25.2,30.8,44.0,0.35278,-1.819
28.5,10.4,61.1,0.080127,-7.7842
22.4,14.9,62.6,0.233,-6.087
23.7,37.6,38.6,0.33752,-2.7771
6.7,60.3,33.0,0.28817,-2.1375
63.3,24.0,12.7,0.48423,-2.7097
34.6,5.9,59.5,0.19436,-7.6262
43.2,8.1,48.7,0.083069,-8.8114
29.8,33.1,37.1,0.37318,-2.5861
47.2,33.1,19.7,0.46225,-3.1211
60.5,8.1,31.4,0.15666,-8.4169
41.2,8.1,50.6,0.08222,-10.317
