Fe,Co,Ni,Kerr,Coercivity
6.4,64.8,28.7,0.29349,-2.0275
83.6,8.1,8.2,0.48103,-3.3699
39.5,33.1,27.4,0.43008,-2.7912
5.7,5.9,88.4,0.023345,-2.7399
71.1,21.7,7.1,0.51023,-3.003
4.3,80.7,14.9,0.32217,-3.2281
24.6,67.1,8.3,0.67418,-3.6777
11.6,73.9,14.5,0.45337,-2.3075
21.0,35.4,43.6,0.31831,-1.9242
40.3,35.4,24.4,0.4465,-3.1394
14.1,37.6,48.3,0.28305,-1.9958
79.8,8.1,12.1,0.46445,-4.4552
70.5,3.6,25.9,0.26875,-6.49
22.8,24.0,53.2,0.30395,-1.6027999999999998
14.3,49.0,36.8,0.30058,-2.4634
8.8,3.6,87.6,0.025502,-2.5139
10.7,3.6,85.7,0.024638,-3.1111
14.4,19.5,66.1,0.20219,-1.6862
20.8,10.4,68.8,0.059479,-8.8476
22.2,60.3,17.5,0.53508,-3.2447000000000004
32.6,35.4,32.1,0.39972,-2.854
7.7,46.7,45.6,0.25333,-1.7985
68.2,8.1,23.7,0.20783,-8.522400000000001
79.5,12.7,7.9,0.49185,-2.0488
51.5,39.9,8.6,0.58147,-3.6384
12.5,60.3,27.2,0.33756,-2.1107
21.8,64.8,13.3,0.59104,-3.561
81.4,12.7,5.9,0.50348,-2.2106000000000003
42.5,30.8,26.7,0.44276,-2.7289000000000003
52.3,42.2,5.5,0.61778,-3.6342
22.8,51.2,26.0,0.44148,-3.2463
38.9,42.2,19.0,0.48941,-4.0172
47.8,24.0,28.2,0.45147,-2.0664
5.1,14.9,80.0,0.097222,-3.9706
35.8,44.4,19.8,0.48297,-4.0932
73.1,21.7,5.2,0.5324,-3.5634
30.8,46.7,22.5,0.47585,-3.9167
62.8,3.6,33.7,0.16903,-8.9289
85.9,3.6,10.5,0.45864,-2.3689
17.8,26.3,55.9,0.27502,-1.6419
7.0,14.9,78.0,0.1081,-4.3028
56.0,30.8,13.2,0.49582,-3.2998
11.7,30.8,57.5,0.22145,-1.5729
12.0,26.3,61.7,0.2012,-1.592
28.6,24.0,47.4,0.35958,-1.5996
72.6,14.9,12.5,0.48393,-1.9462
77.5,12.7,9.8,0.48828,-1.9916
54.1,30.8,15.1,0.48713,-3.2381
64.9,28.5,6.6,0.5506,-3.553
24.1,19.5,56.5,0.2941,-1.9354
46.1,35.4,18.6,0.47223,-3.489
74.3,3.6,22.1,0.31608,-4.263
20.5,14.9,64.6,0.21947,-6.2773
49.3,3.6,47.2,0.10462,-8.1279
32.6,21.7,45.7,0.38188,-1.5625
74.5,14.9,10.6,0.4906,-1.9611
16.8,39.9,43.3,0.29699,-2.1995
4.8,60.3,34.9,0.27873,-2.1591
14.0,80.7,5.3,0.66359,-2.698
49.9,35.4,14.7,0.50015,-3.3948
63.4,21.7,14.9,0.48531,-2.3745000000000003
21.6,26.3,52.1,0.30515,-1.7625
28.3,55.8,16.0,0.57011,-4.1132
12.5,33.1,54.4,0.23728,-1.8368
31.3,12.7,56.1,0.26411,-9.0585
59.1,28.5,12.4,0.49457,-3.0797
43.6,14.9,41.4,0.39773,-3.0449
81.7,8.1,10.2,0.46724,-3.6638
51.1,33.1,15.9,0.48819,-3.2083
11.5,83.0,5.5,0.63705,-2.6625
13.2,51.2,35.6,0.30173,-2.4653
27.1,17.2,55.7,0.31033,-2.5291
67.9,12.7,19.4,0.4657,-2.181
5.4,51.2,43.3,0.25032,-1.7845
15.9,26.3,57.9,0.24723,-1.6116
60.7,33.1,6.2,0.57791,-3.5647
47.8,10.4,41.8,0.17958,-10.18
32.7,5.9,61.4,0.19139,-8.498099999999999
49.4,28.5,22.0,0.46535,-2.4366
48.2,46.7,5.1,0.67873,-4.0118
9.2,67.1,23.7,0.31952,-2.2625
40.6,17.2,42.2,0.40029,-2.0871
46.2,5.9,47.9,0.082181,-7.6334
57.2,28.5,14.3,0.49547,-2.2374
35.3,37.6,27.1,0.42322,-3.3984
60.2,12.7,27.1,0.44263,-2.6571
52.2,17.2,30.6,0.4379,-1.8012
34.7,46.7,18.6,0.5103,-4.1795
52.7,37.6,9.7,0.55825,-3.3129
45.6,14.9,39.5,0.4134,-2.8369
7.7,5.9,86.5,0.021063,-7.140600000000001
34.8,58.0,7.1,0.75059,-3.6189
35.4,8.1,56.4,0.096456,-6.9818
20.0,8.1,71.9,0.039164,-8.0587
15.9,53.5,30.6,0.34949,-2.6401
17.5,17.2,65.3,0.22097,-2.9383
41.7,14.9,43.4,0.39164,-3.3023
91.7,3.6,4.7,0.48591,-2.1712
9.6,83.0,7.4,0.58097,-2.8442
