Fe,Co,Ni,Kerr,Coercivity
33.7,19.5,46.8,0.37483,-1.6168
59.4,24.0,16.6,0.48418,-2.3839
57.6,35.4,7.0,0.58224,-3.499
4.0,17.2,78.8,0.084686,-1.6865
14.4,33.1,52.5,0.26194,-1.9366
42.4,5.9,51.8,0.066321,-7.118600000000001
27.1,30.8,42.1,0.36881,-2.0091
20.4,44.4,35.2,0.3424,-2.9638
35.7,60.3,4.0,0.77506,-3.7814
33.8,3.6,62.6,0.07463,-7.298900000000001
52.5,12.7,34.9,0.41275,-4.715400000000001
5.5,78.5,16.1,0.31812,-2.9238
21.8,37.6,40.6,0.32978,-2.3147
36.1,39.9,24.0,0.448,-3.8037
11.7,58.0,30.2,0.31724,-2.1817
11.5,5.9,82.6,0.032279,-6.4351
29.8,19.5,50.7,0.34611,-1.7521999999999998
22.9,21.7,55.3,0.29591,-1.6291
16.5,3.6,79.9,0.028758,-6.6226
9.3,51.2,39.5,0.28424,-1.8936
43.3,19.5,37.2,0.4315,-1.7307
15.5,17.2,67.3,0.20253,-3.1762
47.5,14.9,37.6,0.41208,-2.6148
75.9,8.1,15.9,0.39339,-5.7104
8.5,49.0,42.5,0.27443,-1.9785
10.4,49.0,40.6,0.28701,-2.1046
47.7,39.9,12.4,0.54079,-4.0304
40.3,21.7,38.0,0.42316,-1.689
21.5,69.4,9.1,0.6376,-3.3821
6.2,26.3,67.5,0.14676,-1.6354
75.3,17.2,7.5,0.50525,-2.5643
54.7,8.1,37.2,0.15076,-8.481100000000001
55.8,5.9,38.3,0.14136,-7.559699999999999
29.7,8.1,62.2,0.069577,-6.8314
61.0,28.5,10.4,0.50798,-3.2437
8.2,53.5,38.3,0.28367,-1.722
48.1,5.9,46.0,0.082214,-7.7935
20.2,33.1,46.7,0.31407,-1.7716
78.7,10.4,10.9,0.47897,-2.3738
30.7,35.4,34.0,0.39231,-2.8062
18.1,49.0,32.9,0.3519,-3.0102
8.6,19.5,71.9,0.1466,-1.6395
43.5,44.4,12.1,0.58318,-4.0694
30.2,14.9,54.9,0.30871,-5.1494
24.7,10.4,64.9,0.066823,-8.1463
4.3,53.5,42.2,0.24962,-2.0133
29.2,42.2,28.6,0.41552,-3.4497
47.3,3.6,49.1,0.1102,-8.857299999999999
48.9,8.1,42.9,0.11559,-8.2101
